entity_id,name,description
Q221122,atatuerk olimpiyat stadi,"The Ataturk Olympic Stadium (Turkish: Atatürk Olimpiyat Stadı, pronounced [aˈtatyɾc]) located in İkitelli, a district in the western outskirts of Istanbul, is the largest-capacity stadium of Turkey. The stadium is named after Mustafa Kemal Atatürk, the founder and first President of the Republic of Turkey. Its construction began in 1999 and was completed in 2002. It was built for Turkey's failed bid for the 2008 Olympic Games that were ultimately awarded to Beijing. It cost about US$140 million.With its 76,761 (all-seater) capacity and Olympic size, it was granted the ""5-star sports complex"" title by the UEFA in 2004, enabling it to host the finals of UEFA events. The 2005 UEFA Champions League Final between Milan and Liverpool was played at the Atatürk Olympic Stadium on 25 May 2005. The stadium is also certified by the IAAF and IOC as a first-class venue for track and field, and has hosted several European athletic competitions. On 30 May 2020, the stadium is scheduled to stage its second Champions League final.Süper Lig football team Istanbul BB used the venue as their home stadium until they moved to the Başakşehir Fatih Terim Stadium in 2014. Galatasaray played its home games at the Atatürk Olympic Stadium during the 2003–2004 football season, due to the renovation of their own venue, the Ali Sami Yen Stadium. Galatasaray eventually returned to Ali Sami Yen for the 2004–2005 season, but played 2006–2007 UEFA Champions League group stage matches at the Atatürk Olympic Stadium. Sivasspor also played some of its Süper Lig home games at the Atatürk Olympic Stadium due to the bad weather conditions in their original hometown stadium. Beşiktaş used the arena in the 2013-14 season to play most of their home games, with the reasoning being the same as Galatasaray's, while their own stadium, the Vodafone Arena, was under construction."
Q2211505,Saffet Gurur Yazar,Saffet Gurur Yazar (born 16 April 1987) is a Turkish professional footballer who currently plays as a centre back for Nevşehir Belediyespor in the TFF Third League.
Q22117622,Birgül Erken,"Birgül Erken (born 9 February 1972 in Çanakkale) is a Turkish champion free diver, national representative and an underwater model. She is a holder of multiple records in various freediving disciplines.Erken completed her graduate program (Turkish language and literature) in Trakya University in Edirne. She then pursued another degree in photography and video at Anadolu University. Since 2004, Birgül Erken has been teaching Turkish language and literature at Edirne Anatolian Fine Arts High school.Since 2011, Birgül Erken represents Turkey in a national uniform. Coached by her husband, Mr. Değer Erken, and supported by Istanbul Technical University Sports Club, she continues to train and develop in a systematic manner. Together with her husband, Erken also participates in Underwater Photography competitions.In 2013, Birgül Erken won a bronze medal in Speed Apnea at the CMAS World Free Diving Championship held in Kazan and managed to find her place among the world’s most renowned free divers."
Q2212587,demir kaan,"Damir Mršić (born 25 October 1970) is a retired Bosnian professional basketball player. He also holds Turkish citizenship, under the name Demir Kaan, since 2003. He is one of Fenerbahçe's legendary club players, and was mostly known for his supreme three-point shooting ability."
Q2217066,samet gündüz,Samet Gündüz (born 13 September 1987) is a Swiss former professional footballer of Turkish descent who played as a midfielder.
Q2217087,samet aybaba,"Samet Aybaba (born 2 March 1955, in Osmaniye) is a Turkish former football player and manager."
Q2217136,şamil çinaz,Şamil Çinaz (born 8 March 1986) is a German professional footballer of Turkish descent who plays as a midfielder for Turkish club Kayserispor.
Q2218396,"göcek, fethiye","Göcek (Turkish pronunciation: [ɟœˈdʒec]) is a small town in Fethiye district in Muğla Province, Turkey.Its site was occupied by the town of Callimache in ancient times, and is located between Fethiye – Telmessos in ancient times – and Dalyan – Caunos in ancient times. According to the legends, it is in the Göcek area that Icarus landed in the sea after his famous flight trying to escape from the tower where he was imprisoned. Göcek was used as a harbour for ships loading chrome ore collected from the mines under nearby mountains during the Ottoman period.Today, Göcek hosts six significant marinas that serve the yacht tourism in the region: Club Marina, Skopea Marina, Municipality Marinas, Marinturk Göcek Village Port, Marinturk Göcek Exclusive and D-Marin Gocek. A prominent characteristic of the town is the fact that it harbors islands and coves located in a large and secluded bay. Owing to its location, it naturally enjoys a high potential for yacht tourism. In 1988, Göcek was declared a Registered Area of Special Protection. Therefore, multi-story buildings are not allowed, the tourist accommodation facilities are two-storied hotels, motels, apartment hotels, and pensions situated in the town center and its periphery. Göcek has all the necessary infrastructure, capacity, and amenities expected in a tourism center, yet it is renowned as a much more peaceful and quiet settlement than some other tourism areas.Göcek is situated on Dalaman–Fethiye highway. Until 2006, it was necessary to drive along a relatively narrow and  winding road to reach Göcek from Dalaman. However, the 980-meter Göcek vehicle tunnel, completed in June 2006, has significantly increased the accessibility of the town. The vehicle tunnel is a toll roadway and the first example of build-operate-transfer model.The permanent population in Göcek is around 4,500. This number exceeds 7,000 during the summer months. Since Göcek is a departure and arrival point for Blue Cruises, there is heavy yacht traffic in the town harbor. With its secluded bay, the harbor is quiet and safe, especially for long-distance travelers arriving from international waters. Göcek coves and the 12 islands, which are described as a hidden paradise, with clean Mediterranean water, green pine forests, and beaches, have rendered Göcek an indispensable destination for seafarers. High-quality boarding facilities, daily boat tours, entertainment facilities on the seaside, and numerous nearby beaches and coves provide various alternatives for local and international tourists traveling by road to spend their vacations. There are many restaurants, cafés, and bars on the promenade.Göcek became known to groups of artists and poets and to some fisherman from Bodrum as a result of their cruising along the Turkish Turquoise Coast, a journey later called the “Blue Voyage”.The gulf of Göcek and Fethiye provides many opportunities to visit cultural sites as Caunos, Telmessos, Fethiye Museum, Tlos, Pınara, Letoon, Xanthos and Patara.Of the beaches, one belongs to D-Resort Gocek can be used paying a daily price or taking out a seasonal membership. Inlice Beach is out of Göcek and can be reached with a 10-minute drive; it is run by the municipality of Göcek. The main island beach is reachable by water taxi from the harbor. Other beaches are easily accessible by car or taxi. Amongst these is Sarıgerme, a long sandy beach. Beyond Sarıgerme is the protected beach of Iztuzu in the Dalyan Delta. In the opposite direction, the famous beach at Ölüdeniz is only 40 minutes drive away.The Twelve Islands can be reached by private charter boats, simple fishing boats, and larger yachts. There are about 20 sailing and motor yacht charter and brokerage sailing companies, which makes Göcek a high-class sailing place. There are several technical yacht services, chandlers and maintenance services."
Q222,Albania,"Albania ( (listen) a(w)l-BAY-nee-ə; Albanian: Shqipëri or Shqipëria; Gheg Albanian: Shqipni or Shqipnia also Shqypni or Shqypnia), officially the Republic of Albania (Albanian: Republika e Shqipërisë, pronounced [ɾɛpuˈblika ɛ ʃcipəˈɾiːsə]), is a country in Southeast Europe on the Adriatic and Ionian Sea within the Mediterranean Sea. It shares land borders with Montenegro to the northwest, Kosovo to the northeast, North Macedonia to the east, Greece to the south and a maritime border with Italy to the west.Geographically, the country displays varied climatic, geological, hydrological and morphological conditions, defined in an area of 28,748 km2 (11,100 sq mi). It possesses remarkable diversity with the landscape ranging from the snow-capped mountains in the Albanian Alps as well as the Korab, Skanderbeg, Pindus and Ceraunian Mountains to the hot and sunny coasts of the Albanian Adriatic and Ionian Sea along the Mediterranean Sea.Historically, the area of Albania was populated by various Illyrian, Thracian and Ancient Greek tribes as well as several Greek colonies established in the Illyrian coast. The area was annexed in the 3rd century by Romans and became an integral part of the Roman provinces of Dalmatia, Macedonia and Illyricum. The autonomous Principality of Arbër emerged in 1190, established by archon Progon in the Krujë, within the Byzantine Empire. In the late thirteenth century, Charles of Anjou conquered Albanian territories from the Byzantines and established the medieval Kingdom of Albania, which at its maximal extension was extending from Durrës along the coast to Butrint in the south. In the mid-fifteenth century, it was conquered by the Ottomans.The modern nation state of Albania emerged in 1912 following the defeat of the Ottomans in the Balkan Wars. The modern Kingdom of Albania was invaded by Italy in 1939, which formed Greater Albania, before becoming a Nazi German protectorate in 1943. After the defeat of Nazi Germany, a Communist state titled the People's Socialist Republic of Albania was founded under the leadership of Enver Hoxha and the Party of Labour. The country experienced widespread social and political transformations in the communist era, as well as isolation from much of the international community. In the aftermath of the Revolutions of 1991, the People's Socialist Republic was dissolved and the fourth Republic of Albania was established.Politically, the country is a unitary parliamentary constitutional republic and developing country with an upper-middle income economy dominated by the tertiary sector followed by the secondary and primary sector. It went through a process of transition, following the end of communism in 1990, from centralized planning to a market-based economy. It also provides universal health care and free primary and secondary education to its citizens.The country is a member of the United Nations, World Bank, UNESCO, NATO, WTO, COE, OSCE and OIC. It is also an official candidate for membership in the European Union. In addition it is one of the founding members of the Energy Community, including the Organization of the Black Sea Economic Cooperation  and Union for the Mediterranean."
Q2222443,Sanlı Sarıalioğlu,"Sanlı Sarıalioğlu (born 1 January 1945) is a Turkish former footballer and current football columnist and TV pundit. He is a one-club man, served Beşiktaş for 14 years, his entire football career. Sarialioğlu captained Beşiktaş between 1968-1975. As of 2013, he writes in the sports section of daily newspaper Yeni Şafak."
Q2223888,"Taskuyu, Samsat","Taşkuyu is a village in the District of Samsat, Adıyaman Province, Turkey."
Q2225636,bayram çetin,"Bayram Çetin (born July 17, 1985 in Germany) is a Turkish professional footballer who plays for Afjet Afyonspor."
Q222865,suekrue saracoglu stadyumu,"The Ülker Stadium (Turkish pronunciation: [ˈʃycɾy saɾaˈdʒoːɫu]), previously known as Şükrü Saracoğlu stadium in the Kadıköy district of Istanbul, Turkey. It is the traditional home venue of major Turkish multi-sport club Fenerbahçe SK. The stadium was inaugurated in 1908 and renovated between 1929 and 1932, 1965 and 1982, and 1999 and 2006. On October 4, 2006, after numerous inspections by UEFA, Ülker Stadium was selected to host the 2009 UEFA Cup Final that went down to history as the last Final of the UEFA Cup football tournament, which was rebranded as the UEFA Europa League starting from the 2009–10 season."
Q22342338,İsmail Ayaz,İsmail Ayaz (born 20 July 1988) is a Turkish professional footballer who plays as a midfielder for Turkish [[
Q22342341,muhammed emin balcılar,Muhammed Emin Balcılar (born 15 April 1996) is a Turkish professional footballer who plays as a midfielder for TFF Third League club Pazarspor on loan from Turkish Süper Lig club Çaykur Rizespor. Muhammed Emin Balcılar made his debut for Çaykur Rizespor in a 1-1 tie with Galatasaray on 5 May 2015.
Q22342440,Irfan Can Egribayat,"İrfan Can Eğribayat (born 30 June 1998), is a Turkish professional football player, who plays for Turkish club Adanaspor as a goalkeeper."
Q22342445,erhan erentürk,Erhan Erentürk (born 30 May 1995) is a Turkish footballer who plays as a goalkeeper for TFF Second League club Karşıyaka.
Q22342560,Fırat Kaplan,"Yusuf Fırat Kaplan (born 16 July 1998), is a Turkish professional football player, who plays for Turkish club Adanaspor as a midfielder."
Q22342693,Bahadir Ozturk,Bahadir Öztürk (born 1 October 1995) is a Turkish footballer who plays as a defender for the Turkish club Antalyaspor.
Q22342786,halil i̇brahim sönmez,"Halil İbrahim Sönmez (born 1 October 1990) is a Turkish professional footballer who plays as a winger for TFF First League club İstanbulspor.In 2015-16 season, Sönmez clocks in at 35 km/h against Akhisar Belediyespor match's 83"" minutes with 70 meters outrun. He became one of top 10 fastest footballers in the world. Arjen Robben is fastest with 37 km/h and Gareth Bale is second placed with 36.9 km/h."
Q22342854,Hakki Yildiz,Hakkı Yıldız (born 12 December 1995) is a Turkish-German footballer who plays as a forward for Hekimoğlu Trabzon on loan from Keçiörengücü.
Q22343576,Ozan Yilmaz,"Ozan Yılmaz (born 1 February 1988) is a Turkish-German footballer who plays as a midfielder for TSV Marl-Hüls, where he also is the assistant manager."
Q2237991,Esmeral Tuncluer,"Esmeral Özçelik Tunçluer (born April 7, 1980) is a Dutch-Turkish former basketball player for Fenerbahçe İstanbul. The 1.75 m (5 ft 9 in) national competitor plays in the guard position.She played with Beşiktaş Cola Turka, Fenerbahçe, Botaş Spor and Mersin Metropolitan Municipality. Tunçluer won the Turkish Women's Basketball League champion title with Beşiktaş in 2005 and with Fenerbahçe İstanbul in 2007 to 2011.Tunçluer was member of the national team at the 2005 Mediterranean Games in Almería, Spain, which won the gold medal. She played 170 times for Turkey national women's basketball team."
Q224,hirvatistan,"Croatia ( (listen), kroh-AY-shə; Croatian: Hrvatska, pronounced [xř̩ʋaːtskaː]), officially the Republic of Croatia (Croatian: Republika Hrvatska, listen ), is a country at the crossroads of Central and Southeast Europe, on the Adriatic Sea. It borders Slovenia to the northwest, Hungary to the northeast, Serbia to the east, Bosnia and Herzegovina, and Montenegro to the southeast, sharing a maritime border with Italy. Its capital, Zagreb, forms one of the country's primary subdivisions, along with twenty counties. Croatia has an area of 56,594 square kilometres (21,851 square miles) and a population of 4.28 million, most of whom are Roman Catholics.Inhabited since the Paleolithic Age, the Croats arrived in the area in the 6th century and organised the territory into two duchies by the 9th century. Croatia was first internationally recognized as an independent state on 7 June 879 during the reign of duke Branimir. Tomislav became the first king by 925, elevating Croatia to the status of a kingdom, which retained its sovereignty for nearly two centuries. During the succession crisis after the Trpimirović dynasty ended, Croatia entered a personal union with Hungary in 1102. In 1527, faced with Ottoman conquest, the Croatian Parliament elected Ferdinand I of Austria to the Croatian throne. In October 1918, in the final days of World War I, the State of Slovenes, Croats and Serbs, independent from Austria-Hungary, was proclaimed in Zagreb, and in December 1918 it was merged into the Kingdom of Serbs, Croats and Slovenes.Following the Axis invasion of Yugoslavia in April 1941, most of the Croatian territory was incorporated into a Nazi-backed client-state, the Independent State of Croatia. In response,  a resistance movement developed. This led to the creation of the Federal State of Croatia, which after the war became a founding member and constituent of the Socialist Federal Republic of Yugoslavia. On 25 June 1991, Croatia declared independence, which came wholly into effect on 8 October of the same year. The Croatian War of Independence was fought successfully for four years following the declaration.The  sovereign state of Croatia is a republic governed under a parliamentary system and a developed country with a very high standard of living. It is a member of the European Union (EU), the United Nations (UN), the Council of Europe, NATO, the World Trade Organization (WTO), and a founding member of the Union for the Mediterranean. As an active participant in the UN peacekeeping forces, Croatia has contributed troops to the NATO-led mission in Afghanistan and took a non-permanent seat on the UN Security Council for the 2008–2009 term. Since 2000, the Croatian government has constantly invested in infrastructure, especially transport routes and facilities along the Pan-European corridors.Croatia's economy is dominated by service, industrial sectors and agriculture. Tourism is a significant source of revenue, with Croatia ranked among the top 20 most popular tourist destinations in the world. The state controls a part of the economy, with substantial government expenditure. The European Union is Croatia's most important trading partner. Croatia provides a social security, universal health care system, and a tuition-free primary and secondary education, while supporting culture through numerous public institutions and corporate investments in media and publishing."
Q224535,ali muhammed,"Ali Muhammed (born  April 10, 1983), is a Turkish professional basketball player who plays for Fenerbahçe of the Turkish Basketball Super League (BSL). He also represents the senior Turkish national basketball team.He holds Turkish citizenship since 2015, under name of Ali Muhammed."
Q2248693,Karamuersel,"Karamürsel is a town and district located in northwestern Turkey, in the province of Kocaeli. The mayor is İsmail Yıldırım (AKP).Karamürsel is on the coast of Izmit Bay and has beautiful shores. It has a famous basket known as Karamürsel basket, which is mainly used in collecting fruit like cherries, etc.. The characteristic of this handwoven basket is that it looks small to the eye but has a much bigger capacity than one would think.Karamürsel also holds special significance for the Turkish Navy, as it was here in 1323 that the Ottoman Empire first established its outlet to the sea, thus laying the foundations for the Ottoman Navy which would go on to dominate the eastern Mediterranean for several centuries."
Q2248704,cifteler,"Çifteler is a town and district of Eskişehir Province in the Central Anatolia region of Turkey. According to 2000 census, population of the district is 16,716 of which 11,872 live in the town of Çifteler. The district covers an area of 820 km2 (317 sq mi), and the average elevation is 875 m (2,871 ft)."
Q2248743,geyve,"Geyve is a town in Sakarya Province in the Marmara region of Turkey. The closest international airport is Istanbul Sabiha Gökçen International Airport, 139 km (86 mi) from Geyve. It is the third largest town of Sakarya Province in terms of area. Geyve is located at the foot of Geyve Gorge, which is set between two mountain ranges and lies along the Sakarya River. Geyve region has an impressive green landscape and productive nature. Geyve is relatively close to many important cities in Turkey; 179 km (111 mi) to Istanbul, 30 km to Adapazarı, 75 km (47 mi) to Izmit, 139 km to Bursa, 156 km (97 mi) to Eskişehir, 167 km (104 mi) to Bolu according to Google Maps."
Q225,босна и херцеговина,"Bosnia and Herzegovina, abbreviated BiH or B&H, sometimes called Bosnia–Herzegovina and often known informally as Bosnia, is a country in Southeastern Europe, located within the Balkan Peninsula. Sarajevo is the capital and largest city.Bosnia and Herzegovina is an almost landlocked country – it has a narrow coast at the Adriatic Sea, about 20 kilometres (12 miles) long surrounding the town of Neum. It is bordered by Croatia to the north, west and south; Serbia to the east; and Montenegro to the southeast. In the central and eastern interior of the country the geography is mountainous, in the northwest it is moderately hilly, and the northeast is predominantly flatland. The inland, Bosnia, is a geographically larger region and has a moderate continental climate, with hot summers and cold and snowy winters. The southern tip, Herzegovina, has a Mediterranean climate and plain topography.Bosnia and Herzegovina traces permanent human settlement back to the Neolithic age, during and after which it was populated by several Illyrian and Celtic civilizations. Culturally, politically, and socially, the country has a rich history, having been first settled by the Slavic peoples that populate the area today from the 6th through to the 9th centuries. In the 12th century the Banate of Bosnia was established, which evolved into the Kingdom of Bosnia in the 14th century, after which it was annexed into the Ottoman Empire, under whose rule it remained from the mid-15th to the late 19th centuries. The Ottomans brought Islam to the region, and altered much of the cultural and social outlook of the country. This was followed by annexation into the Austro-Hungarian Monarchy, which lasted up until World War I. In the interwar period, Bosnia and Herzegovina was part of the Kingdom of Yugoslavia and after World War II, it was granted full republic status in the newly formed Socialist Federal Republic of Yugoslavia. Following the dissolution of Yugoslavia, the republic proclaimed independence in 1992, which was followed by the Bosnian War, lasting until late 1995.Tourism in Bosnia and Herzegovina has grown at double digit rates in recent years. Bosnia and Herzegovina is regionally and internationally renowned for its natural environment and cultural heritage inherited from six historical civilizations, its cuisine, winter sports, its eclectic and unique music, architecture, and its festivals, some of which are the largest and most prominent of their kind in Southeastern Europe. The country is home to three main ethnic groups or, officially, constituent peoples, as specified in the constitution. Bosniaks are the largest group of the three, with Serbs second, and Croats third. A native of Bosnia and Herzegovina, regardless of ethnicity, is usually identified in English as a Bosnian. Minorities, defined under the constitutional nomenclature ""Others"", include Jews, Roma, Poles, Ukrainians, and Turks. Bosnia and Herzegovina has a bicameral legislature and a three-member Presidency composed of a member of each major ethnic group. However, the central government's power is highly limited, as the country is largely decentralized and comprises two autonomous entities: the Federation of Bosnia and Herzegovina and Republika Srpska, with a third unit, the Brčko District, governed under local government. The Federation of Bosnia and Herzegovina consists of 10 cantons.Bosnia and Herzegovina ranks highly in terms of human development, and has an economy dominated by the industry and agriculture sectors, followed by the tourism and service sectors. The country has a social security and universal healthcare system, and primary- and secondary-level education is tuition-free. It is a member of the UN, OSCE, Council of Europe, PfP, CEFTA, and a founding member of the Union for the Mediterranean upon its establishment in July 2008. The country is an applicant for membership to the European Union and has been a candidate for NATO membership since April 2010, when it received a Membership Action Plan."
Q225632,Polonezkoey,"Polonezköy or Adampol is a village, administratively a neighborhood,  on the Asian side of Istanbul, about 30 km (19 mi) from the historic city centre, within the boundaries of the Beykoz district. It was inspired and funded by Prince Adam Jerzy Czartoryski and settled in 1842 by a small group of Polish emigrės, after the failed November Uprising."
Q2257564,Oguz Savas,"Oğuz Savaş (born 13 July 1987) is a Turkish professional basketball player for Darüşşafaka of the Turkish Basketball Super League (BSL). Standing at 2.11 m (6 ft 11 in), he plays the center position. He has also represented the senior Turkish national team."
Q2257639,European LC Championships 1999,"The European Long Course Championships 1999 were a swimming competition held in Istanbul, Turkey from Monday 26 July to Sunday 1 August, in the 50 m pool of the Ataköy Olympic Pool Stadium. The 24th edition of the event was organised by the LEN.The Istanbul championships resulted in two world and eight European records.Alongside swimming (long course), the aquatics disciplines of diving, synchronised swimming and open water swimming were held. Water polo was no longer part of the LEN European Aquatics Championships from 1999 and separate European Water Polo Championship was held in Florence, Italy.For the first time, the 50 m backstroke, breaststroke and butterfly were contested."
Q2264245,"ağçay, sedat","Sedat Ağçay (born 22 September 1981, Muş, Turkey) is a Turkish football midfielder who plays for MKE Ankaragücü."
Q22647,Ancient Troya National Park,"Troy (Ancient Greek: Τροία, Troia or Τροίας, Troias and Ἴλιον, Ilion or Ἴλιος, Ilios; Latin: Troia and Ilium; Hittite: 𒌷𒃾𒇻𒊭 Wilusa or 𒋫𒊒𒄿𒊭 Truwisa; Turkish: Truva or Troya) was a city in the far northwest of the region known in late Classical antiquity as Asia Minor, now known as Anatolia in modern Turkey, just south of the southwest mouth of the Dardanelles strait and northwest of Mount Ida. The present-day location is known as Hisarlik. It was the setting of the Trojan War described in the Greek Epic Cycle, in particular in the Iliad, one of the two epic poems attributed to Homer. Metrical evidence from the Iliad and the Odyssey suggests that the name Ἴλιον (Ilion) formerly began with a digamma: Ϝίλιον (Wilion); this is also supported by the Hittite name for what is thought to be the same city, Wilusa.A new capital called Ilium (from Greek: Ἴλιον, Ilion) was founded on the site in the reign of the Roman Emperor Augustus. It flourished until the establishment of Constantinople, became a bishopric and declined gradually in the Byzantine era, but is now a Latin Catholic titular see.In 1865, English archaeologist Frank Calvert excavated trial trenches in a field he had bought from a local farmer at Hisarlik, and in 1868, Heinrich Schliemann, a wealthy German businessman and archaeologist, also began excavating in the area after a chance meeting with Calvert in Çanakkale. These excavations revealed several cities built in succession. Schliemann was at first skeptical about the identification of Hisarlik with Troy, but was persuaded by Calvert and took over Calvert's excavations on the eastern half of the Hisarlik site, which was on Calvert's property. Troy VII has been identified with the city called Wilusa by the Hittites (the probable origin of the Greek Ἴλιον) and is generally (but not conclusively) identified with Homeric Troy.Today, the hill at Hisarlik has given its name to a small village near the ruins, which supports the tourist trade visiting the Troia archaeological site. It lies within the province of Çanakkale, some 30 km south-west of the provincial capital, also called Çanakkale. The nearest village is Tevfikiye. The map here shows the adapted Scamander estuary with Ilium a little way inland across the Homeric plain. Due to Troy's location near the Aegean Sea, the Sea of Marmara, and the Black Sea, it was a central hub for the military and trade.Troy was added to the UNESCO World Heritage list in 1998."
Q2268569,selma yagci,"Selma Yağcı (February 1, 1981) is a Turkish female boxer competing in the cruiserweight division. She is a member of the Municipality club in Denizli, Turkey.She won a bronze medal in the light heavyweight (90 kg) division at the 1st World Women's Boxing Championship held between October 21 and  27, 2001 in Scranton, Pennsylvania, United States before she fought a silver medal in the cruiserweight (80 kg) division at the 3rd World Women's Boxing Championship held between September 25 and October 2, 2005 in Podolsk, Russia. At the 5th AIBA Women's World Boxing Championship held between November 22 and 29, 2008 in Ningbo City, China, Selma Yağcı became a bronze medalist in her division (80 kg)."
Q2269123,semih sancar,"Semih Sancar (1911 – 8 December 1984) was Chief of the General Staff of Turkey from 1973 to 1978, a period including the 1974 Turkish invasion of Cyprus. He was previously Commander of the Turkish Land Forces (1972–1973) and General Commander of the Gendarmerie of Turkey (1969–1970).He was made a Brigadier General in 1960, Major-General in 1963, Lieutenant General in 1964 and was promoted to the rank of General in 1969. Commanded 4th Division as a Brigadier General, also serving as Joint Chiefs of Staff Department and General Staff Operations Department, War Academies Commander attorney; with the rank of Major General, 5th Corps Commander attorney and Land Forces Operations Staff Yarbaşkanlıg As a Lieutenant General, in the Army Education Corps Command and Commander 9th Corps. Gen. rank in the August 29, 1969 - Gendarmerie General Command to August 29, 1970; from 1970 until August 28, 1972 commanded 2 Army Command. On August 28, 1972 he was appointed Commander of the Turkish Land Forces.On 6 March 1973, General Sancar was appointed as the 16th Chief of the General Staff and commanded the Turkish Armed Forces during Cyprus War.At the request of Special Warfare Department head General Kemal Yamak, Sancar, then the Chief of General Staff, asked Bülent Ecevit for a slush fund of 1 million dollars to support the Counter-Guerrilla programme. It was at that point Ecevit learned of its existence, and demanded a briefing."
Q2269141,semih yuvakuran,"Semih Yuvakuran (born 1 September 1963) is a Turkish football manager, and retired footballer best known for his stints as a leftback for Galatasaray and Fenerbahçe in the Süper Lig."
Q2272244,Serdar Bayrak,Serdar Bayrak (born 27 August 1985) is a Turkish footballer who plays for FSC Lohfelden of the German Hessenliga.
Q2272267,Serdar Topraktepe,"Serdar Topraktepe (born August 25, 1976 in İstanbul) is a Turkish retired footballer who last played for Turkish Super League side Kocaelispor. He played as a striker or as a left sided winger. He wore the jersey number 41, which is also the license plate for Kocaeli."
Q2273307,serhat akyüz,Serhat Akyüz (born 10 August 1984 in Maçka) is a Turkish football defender of Tekirdağspor.
Q2273309,Serhat Güller,"Serhat Güller (born 18 December 1968 in Eskişehir, Turkey), was a Turkish football player and later manager. He has managed TFF First League (second level football league in Turkey) team Mersin idmanyurdu in 2009–10 season until he resigned on 19 February 2010, after 20th week. He is currently the manager of Körfez FK."
Q2273311,serhat gülpınar,"Serhat Gülpınar (born January 1, 1979 in Resadiye) is a Turkish football midfielder who last played for Ankaragücü."
Q2273758,serkan yalcin,Serkan Yalçın (born 2 November 1982) is a Turkish professional footballer who plays as a defender for Akhisar Belediyespor in the TFF First League.
Q2273765,serkan yanik,Serkan Yanık (born 2 April 1987) is a Turkish professional footballer who last played as a right back for Giresunspor in the TFF First League.
Q2273768,serkan ozsoy,"Serkan Özsoy  (born 3 August 1978 in Üsküdar) is a Turkish professional footballer who plays for TKİ Tavşanlı Linyitspor in the TFF First League.Özsoy played previously for Fenerbahçe, Trabzonspor, Malatyaspor, Vestel Manisaspor, Gaziantepspor, Diyarbakırspor, Boluspor, Sakaryaspor, Kartalspor and Adana Demirspor."
Q2273811,Serol Demirhan,"Serol Demirhan (born December 5, 1988) is a Turkish football player. He currently plays defender for Mersin İdmanyurdu in the Süper Lig."
Q2274029,sertan vardar,Sertan Vardar (born 13 March 1982) is a Turkish professional footballer who currently plays as a midfielder for Bucaspor.
Q2276014,sezgin coskun,Sezgin Coşkun (born 23 August 1984) is a Turkish footballer who plays for Eskişehirspor in right back and centre back position because of his aerial ability and tackling skills.
Q2278441,Kaya Peker,"Kaya Peker (born August 2, 1980) is a Turkish professional basketball player who plays as a center for Türk Telekom B.K. of the Turkish Basketball Super League."
Q2278800,Tofaş SK,"Tofaş Spor Kulübü (English: Tofaş Sports Club) (more commonly known as Tofaş) is a professional basketball team that is based in Bursa, Turkey. Their home arena is the Tofaş Nilüfer Spor Salonu, with a capacity of 7,500 seats. The team is sponsored by Tofaş, which is a Turkish automaker. The team competes in the Turkish Basketball Super League (BSL)."
Q2280284,Turkey women's national basketball team,"The Turkish women's national basketball team, is the basketball side that represents Turkey in international competitions for women."
Q22805935,diğdem hoşgör,"Diğdem Hoşgör (born October 2, 1991) is a Turkish women's handballer, who plays in the Turkish Women's Handball Super League for Muratpaşa Bld. SK, and the Turkey national team. The 1.80 m (5 ft 11 in)-tall sportswoman plays in the left back position."
Q2282849,ömer onan,"Ömer Onan (born February 4, 1978) is a Turkish former professional basketball player and current team manager of Fenerbahçe of the Turkish Basketball Super League (BSL). Standing 1.94 m (6 ft 4 ½ in) and weighing 95.4 kg (210 lbs.), he played at the shooting guard position."
Q2288748,Sinan Gümüş,Sinan Gümüş (born 15 January 1996) is a German professional footballer who plays as a forward for Serie A club Genoa.
Q2289900,Gunduz Kilic,"""Baba"" Gündüz Kılıç (1918–1980) was a Turkish football player and coach. He was Ali Kılıç's son and Altemur Kılıç's brother."
Q2290144,Şanlıurfa Belediyespor,"Şanlıurfa BSK is a sports club located in Şanlıurfa, Turkey. The football club plays in the Şanlıurfa 2. Amatör Ligi."
Q22911425,"Holy Trinity Church, Sivrihisar","The Holy Trinity Church (Turkish: Kutsal Üçlü Ermeni Kilisesi, Armenian: Սուրբ Երրորդություն եկեղեցի) or Surp Yerrortut'yun Church is a historical Armenian Apostolic temple in the former Armenian quarter of Sivrihisar in the Western Turkish province of Eskişehir. It was used as a store after the Armenians of the town had been deported and killed during the Armenian Genocide. It is one of the biggest churches in Anatolia.It was built in the year 1650 but set under fire in 1876. In 1881, the Holy Trinity Church was rebuilt by the architect Mintes Panoyat under patriarch Nerses II. After the Armenian Genocide in 1915, the church stood empty. A restoration plan was given up in 2001, but reconstruction of the dome started in 2010. The church at the stage of building reopened.The Holy Trinity Church itself is a rectangular basilica. The old frescoes and Armenian inscriptions inside the church are almost completely destroyed."
Q2292038,Palaescepsis,"Scepsis or Skepsis (Ancient Greek: Σκῆψις or Σκέψις) was an ancient settlement in the Troad, Asia Minor that is at the present site of the village of Kurşunlutepe, near the town of Bayramiç in Turkey. The settlement is notable for being the location where the famous library of Aristotle was kept before being moved to Pergamum and Alexandria. It was also home to Metrodorus of Scepsis and Demetrius of Scepsis."
